Member,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,
Montenegro,Tariff,-a,,Yes,,Yes,,Yes,14,Yes,13,Yes,14,Yes,14,Yes,14,Yes,14,Yes,14
,Imports,Yes*,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,n.a.,,n.a.,
Morocco,Tariff,Yes,,Yes,,Yes,18,Yes,,Yes,,Yes,18,Yes,14,Yes,15,Yes,18,Yes,18
,Imports,Yes,,Yes,,Yes,,,,,,,,Yes,,Yes,,Yes,,n.a.,
Mozambique,Tariff,Yes,,Yes,,Yes,2,Yes,2,Yes,4,,,Yes,3,,,Yes,1,,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes*,,Yes,,,,n.a.,,n.a.,
Myanmar,Tariff,Yes,4,Yes,6,Yes,,Yes,,Yes,,Yes,,,,Yes,,Yes,,Yes,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes*,,Yes,,n.a.,,n.a.,
Namibia,Tariff,Yes,4,Yes,4,Yes,4,Yes,4,Yes,4,Yes,4,Yes,4,Yes,5,Yes,5,Yes,5
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes*,,Yes*,,Yes*,,n.a.,,n.a.,
Nepal,Tariff,Yes,2,Yes,2,Yes,2,Yes,2,Yes,2,Yes,2,Yes,2,Yes,2,Yes,2,,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,n.a.,,n.a.,
New Zealand,Tariff,Yes,2,Yes,2,Yes,2,Yes,2,Yes,2,Yes,2,Yes,2,Yes,2,Yes,2,Yes,3
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,n.a.,,n.a.,
Nicaragua,Tariff,Yes,5,Yes,6,Yes,6,Yes,8,Yes,8,Yes,9,Yes,9,Yes,8,Yes,10,Yes*,Yes*
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes*,,n.a.,
Niger,Tariff,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes*,Yes*
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes*,,,,n.a.,,n.a.,
Nigeria,Tariff,Yes,,Yes,,,,Yes,,Yes,,Yes,1,Yes,1,,,,,,
,Imports,Yes,,Yes,,Yes*,,Yes,,Yes,,,,Yes*,,,,n.a.,,n.a.,
North Macedonia,Tariff,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,5,Yes,,Yes,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,,,n.a.,,n.a.,
Norway,Tariff,Yes,24,Yes,24,Yes,26,Yes,31,Yes,30,Yes,35,Yes,34,Yes,35,Yes,36,Yes,36
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes*,,n.a.,
Oman,Tariff,,,,,Yes,,Yes,,Yes,,Yes,5,Yes,5,Yes,3,,,,
,Imports,,,Yes*,,,,,,,,,,,,,,n.a.,,n.a.,
Pakistan,Tariff,Yes,,Yes,7,Yes,7,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,,,n.a.,,n.a.,
Panama,Tariff,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,,n.a.,,n.a.,
Papua New Guinea,Tariff,Yes,,,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
,Imports,,,,,,,,,,,,,,,,,n.a.,,n.a.,
Paraguay,Tariff,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,n.a.,,n.a.,
Peru,Tariff,Yes,,Yes,,Yes,13,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,
,Imports,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,n.a.,,n.a.,
